step,time,requested_x,requested_y,requested_z,i,j,k,T,pressure,velocity_magnitude
84,4.2,0.22,0,0.3,4,0,13,20,0,0
85,4.25,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
86,4.3,0.22,0,0.3,4,0,13,20,0,0
87,4.35,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
88,4.4,0.22,0,0.3,4,0,13,20,0,0
89,4.45,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
90,4.5,0.22,0,0.3,4,0,13,20,0,0
91,4.55,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
92,4.6,0.22,0,0.3,4,0,13,20,0,0
93,4.65,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
94,4.7,0.22,0,0.3,4,0,13,20,0,0
95,4.75,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
96,4.8,0.22,0,0.3,4,0,13,20,0,0
97,4.85,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
98,4.9,0.22,0,0.3,4,0,13,20,0,0
99,4.95,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
100,5,0.22,0,0.3,4,0,13,20,0,0
101,5.05,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
102,5.1,0.22,0,0.3,4,0,13,20,0,0
103,5.15,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
104,5.2,0.22,0,0.3,4,0,13,20,0,0
105,5.25,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
106,5.3,0.22,0,0.3,4,0,13,20,0,0
107,5.35,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
108,5.4,0.22,0,0.3,4,0,13,20,0,0
109,5.45,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
110,5.5,0.22,0,0.3,4,0,13,20,0,0
111,5.55,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
112,5.6,0.22,0,0.3,4,0,13,20,0,0
113,5.65,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
