step,time,requested_x,requested_y,requested_z,i,j,k,T,pressure,velocity_magnitude
0,0,0.22,0.22,0.3,11,11,15,20,0,0
0,0,0.22,0.22,0.3,11,11,15,20,0,0
1,0.1,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
2,0.2,0.22,0.22,0.3,11,11,15,20,0,0
3,0.3,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
4,0.4,0.22,0.22,0.3,11,11,15,20,0,0
5,0.5,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
6,0.6,0.22,0.22,0.3,11,11,15,20,0,0
7,0.7,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
8,0.8,0.22,0.22,0.3,11,11,15,20,0,0
9,0.9,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
10,1,0.22,0.22,0.3,11,11,15,20,0,0
11,1.1,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
12,1.2,0.22,0.22,0.3,11,11,15,20,0,0
13,1.3,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
14,1.4,0.22,0.22,0.3,11,11,15,20,0,0
15,1.5,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
16,1.6,0.22,0.22,0.3,11,11,15,20,0,0
17,1.7,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
18,1.8,0.22,0.22,0.3,11,11,15,20,0,0
19,1.9,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
20,2,0.22,0.22,0.3,11,11,15,20,0,0
21,2.1,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
22,2.2,0.22,0.22,0.3,11,11,15,20,0,0
23,2.3,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
24,2.4,0.22,0.22,0.3,11,11,15,20,0,0
25,2.5,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
26,2.6,0.22,0.22,0.3,11,11,15,20,0,0
27,2.7,0.22,0.22,0.3,11,11,15,20,-0.00546159,0.00340761
