step,time,x,y,z,T,qdot,is_component,k,rho,cp,vx,vy,vz,h
dx,0.1,dy,0.1,dz,0.01
0,0,0,1,30,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,31,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,32,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,33,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,34,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,35,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,36,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,37,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,38,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,39,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,40,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,41,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,42,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,43,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,44,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,0,20,14060.7,1,150,2700,900,0,0,0,0
0,0,0,2,1,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,2,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,3,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,4,20,14060.7,1,150,2700,900,0,0,0,0
0,0,0,2,5,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,6,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,7,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,8,20,133333,1,120,2300,700,0,0,0,0
0,0,0,2,9,20,133333,1,120,2300,700,0,0,0,0
0,0,0,2,10,20,133333,1,120,2300,700,0,0,0,0
0,0,0,2,11,20,133333,1,120,2300,700,0,0,0,0
0,0,0,2,12,20,133333,1,120,2300,700,0,0,0,0
0,0,0,2,13,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,14,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,15,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,16,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,17,20,569318,1,15,2700,900,0,0,0,0
0,0,0,2,18,20,569318,1,15,2700,900,0,0,0,0
0,0,0,2,19,20,569318,1,15,2700,900,0,0,0,0
0,0,0,2,20,20,569318,1,15,2700,900,0,0,0,0
0,0,0,2,21,20,569318,1,15,2700,900,0,0,0,0
0,0,0,2,22,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,23,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,24,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,25,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,26,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,27,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,28,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,29,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,30,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,31,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,32,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,33,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,34,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,35,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,36,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,37,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,38,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,39,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,40,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,41,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,42,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,43,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,44,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,0,20,14060.7,1,150,2700,900,0,0,0,0
0,0,0,3,1,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,2,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,3,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,4,20,14060.7,1,150,2700,900,0,0,0,0
0,0,0,3,5,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,6,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,7,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,8,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,9,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,10,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,11,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,12,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,13,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,14,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,15,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,16,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,17,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,18,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,19,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,20,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,21,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,22,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,23,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,24,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,25,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,26,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,27,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,28,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,29,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,30,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,31,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,32,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,33,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,34,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,35,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,36,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,37,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,38,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,39,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,40,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,41,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,42,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,43,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,3,44,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,0,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,1,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,2,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,3,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,4,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,5,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,6,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,7,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,8,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,4,9,20,0,0,0.02587,1.225,1005.5,0,0,0,0
