step,time,x,y,z,T,qdot,is_component,k,rho,cp,vx,vy,vz,h
dx,0.048894999999999994,dy,0.049703181818181813,dz,0.048836513157894737
0,0,0,0,0,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,1.212424125873041,-1.1912733542753582,0
0,0,0,0,1,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,0.86126312557271134,-1.8022040034515998,0
0,0,0,0,2,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.54361580203223347,1.8161504319061139,-1.0407548489410399,0
0,0,0,0,3,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-1.3719162285338207,2.0398141103981247,-0.073156092164578745,0
0,0,0,0,4,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,1.8102708262159111,0.35666810760021944,0
0,0,0,0,5,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,0,0,0
0,0,0,0,6,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,0,0,0
0,0,0,0,7,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,0,0,0
0,0,0,0,8,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.034606982660157763,-0.075772257600803181,0.10902456027300181,0
0,0,0,0,9,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.01698162650074457,-0.054364315633299812,0.28842767614405695,0
0,0,0,0,10,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.018604565401559896,-0.03912050411956039,0.41583330298443261,0
0,0,0,0,11,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.017179545847490874,-0.032962098201905154,0.522414354969154,0
0,0,0,0,12,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.015062595092201198,-0.028959323651058473,0.61547089102976926,0
0,0,0,0,13,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.012689455305875839,-0.025592424957129812,0.6967921654486311,0
0,0,0,0,14,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.010379027725475132,-0.022634640096916576,0.76722008619155069,0
0,0,0,0,15,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.0082642497050006737,-0.019839865039593747,0.8275744484950186,0
0,0,0,0,16,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.0064018768295055596,-0.016893472398268387,0.87831852043504366,0
0,0,0,0,17,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.0048109289735042242,-0.013736576005016984,0.919613265056336,0
0,0,0,0,18,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.0035024522325149145,-0.010328627459197262,0.95155538915054383,0
0,0,0,0,19,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.002489629987381667,-0.0066395890718426703,0.97420721021960333,0
0,0,0,0,20,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.0017321882594499905,-0.0026343624758322763,0.98752677459095217,0
0,0,0,0,21,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.0011863560431596815,0.0016163847172423755,0.99143567688926315,0
0,0,0,0,22,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.00080530041311775897,0.0055638838320309306,0.98636920038953901,0
0,0,0,0,23,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.00054398193942861045,0.0091126278293501353,0.97329446654708351,0
0,0,0,0,24,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.00036431643519541698,0.012361515909274638,0.95309620801651129,0
0,0,0,0,25,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.00024462499593304906,0.015399920676745924,0.92641865489638131,0
0,0,0,0,26,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.00016335021599368709,0.018302606076151192,0.89370411954685491,0
0,0,0,0,27,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.00011235079965485292,0.021116610941173283,0.85525092138469305,0
0,0,0,0,28,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-7.4652282657691919e-05,0.02387885875006034,0.81124597217379635,0
0,0,0,0,29,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-5.2881759693607749e-05,0.026630929326741618,0.76176823959991569,0
0,0,0,0,30,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-3.0165889429075753e-05,0.029580280663382828,0.70664424754922917,0
0,0,0,0,31,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-2.0545364806858256e-05,0.033673701611030921,0.64455907310021365,0
0,0,0,0,32,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-5.5485907606740917e-06,0.037043933908511323,0.57510772325733117,0
0,0,0,0,33,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,2.6953681020225287e-06,0.040901917439966615,0.49852282788431918,0
0,0,0,0,34,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,1.5343242803846492e-05,0.045652020279041333,0.41344806533742606,0
0,0,0,0,35,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,2.2078486314478617e-05,0.05147730331507689,0.31796357149026894,0
0,0,0,0,36,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,3.131851794256226e-05,0.057928493363177874,0.21040564764233557,0
0,0,0,0,37,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,3.7565965654221581e-05,0.078052768054306762,0.076728156443378992,0
0,0,0,1,0,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,2.5608626443356082,-0.13362879039283135,0
0,0,0,1,1,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,2.2066050226322358,-0.74288105352981648,0
0,0,0,1,2,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.37758409063349102,3.5998441185162906,-0.80946449055885594,0
0,0,0,1,3,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,3.872229817021557,-0.1966207645111982,0
0,0,0,1,4,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,3.6242123923960552,0.0035914629106726264,0
0,0,0,1,5,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,0,0,0
0,0,0,1,6,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,0,0,0
0,0,0,1,7,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,0,0,0,0
0,0,0,1,8,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.027633292220268692,-0.21355673981056067,0.088557264995723806,0
0,0,0,1,9,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.021653655620741594,-0.19721104582791421,0.28568546121357796,0
0,0,0,1,10,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.019374753389274375,-0.10495019693244605,0.43980552678713275,0
0,0,0,1,11,20,0,0,0.025870000000000001,1.2250000000000001,1005.5,-0.01727141546029945,-0.096177392180419957,0.53236576554758785,0
